Food,Grams,Calories,Protein,Fat,Category,Calories_Category,,Id_Calories
Cows' milk,976,660,32,40,Dairy products,Tinggi,,2
Buttermilk,246,127,9,5,Dairy products,Sedang,,1
"Evaporated, undiluted",252,345,16,20,Dairy products,Tinggi,,2
Powdered milk,103,515,27,28,Dairy products,Tinggi,,2
Goats' milk,244,165,8,10,Dairy products,Sedang,,1
(1/2 cup ice cream),540,690,24,24,Dairy products,Tinggi,,2
Cocoa,252,235,8,11,Dairy products,Tinggi,,2
skim. milk,250,128,18,4,Dairy products,Sedang,,1
(cornstarch),248,275,9,10,Dairy products,Tinggi,,2
Custard,248,285,13,14,Dairy products,Tinggi,,2
Ice cream,188,300,6,18,Dairy products,Tinggi,,2
Ice milk,190,275,9,10,Dairy products,Tinggi,,2
Cream or half-and-half,120,170,4,15,Dairy products,Sedang,,1
or whipping,119,430,2,44,Dairy products,Tinggi,,2
Cheese,225,240,30,11,Dairy products,Tinggi,,2
Cheddar,17,70,4,6,Dairy products,Rendah,,0
"Cheddar, grated cup",56,226,14,19,Dairy products,Tinggi,,2
Cream cheese,28,105,2,11,Dairy products,Rendah,,0
Processed cheese,28,105,7,9,Dairy products,Rendah,,0
Roquefort type,28,105,6,9,Dairy products,Rendah,,0
Swiss,28,105,7,8,Dairy products,Rendah,,0
Eggs raw,100,150,12,12,Dairy products,Sedang,,1
Eggs Scrambled or fried,128,220,13,16,Dairy products,Tinggi,,2
Yolks,34,120,6,10,"Fats, Oils, Shortenings",Sedang,,1
Butter,112,113,114,115,"Fats, Oils, Shortenings",Sedang,,1
Butter,112,113,114,115,"Fats, Oils, Shortenings",Sedang,,1
Hydrogenated cooking fat,100,665,0,100,"Fats, Oils, Shortenings",Tinggi,,2
Lard,110,992,0,110,"Fats, Oils, Shortenings",Tinggi,,2
Corn oil,14,125,0,14,"Fats, Oils, Shortenings",Sedang,,1
Olive oil,14,125,0,14,"Fats, Oils, Shortenings",Sedang,,1
Safflower seed oil,14,125,0,14,"Fats, Oils, Shortenings",Sedang,,1
Salt pork,60,470,3,55,"Meat, Poultry",Tinggi,,2
Bacon,16,95,4,8,"Meat, Poultry",Rendah,,0
Beef,85,245,23,16,"Meat, Poultry",Tinggi,,2
Hamburger,85,245,21,17,"Meat, Poultry",Tinggi,,2
Ground lean,85,185,24,10,"Meat, Poultry",Sedang,,1
Roast beef,85,390,16,36,"Meat, Poultry",Tinggi,,2
Steak,85,330,20,27,"Meat, Poultry",Tinggi,,2
"Steak, lean, as round",85,220,24,12,"Meat, Poultry",Tinggi,,2
Corned beef,85,185,22,10,"Meat, Poultry",Sedang,,1
Corned beef hash canned,85,120,12,8,"Meat, Poultry",Sedang,,1
Corned beef hash Dried,56,115,19,4,"Meat, Poultry",Sedang,,1
Pot-pie,227,480,18,28,"Meat, Poultry",Tinggi,,2
Corned beef hash Stew,235,185,15,10,"Meat, Poultry",Sedang,,1
chicken,85,185,23,9,"Meat, Poultry",Sedang,,1
"Fried, breast or leg and thigh chicken",85,245,25,15,"Meat, Poultry",Tinggi,,2
Roasted chicken,100,290,25,20,"Meat, Poultry",Tinggi,,2
"Chicken livers, fried",100,140,22,14,"Meat, Poultry",Sedang,,1
"Duck, domestic",100,370,16,28,"Meat, Poultry",Tinggi,,2
"Lamb, chop, broiled",115,480,24,35,"Meat, Poultry",Tinggi,,2
Leg roasted,86,314,20,14,"Meat, Poultry",Tinggi,,2
"Shoulder, braised",85,285,18,23,"Meat, Poultry",Tinggi,,2
"Pork, chop, 1 thick",100,260,16,21,"Meat, Poultry",Tinggi,,2
Ham pan-broiled,85,290,16,22,"Meat, Poultry",Tinggi,,2
"Ham, as ",57,170,13,13,"Meat, Poultry",Sedang,,1
"Ham, canned, spiced",57,165,8,14,"Meat, Poultry",Sedang,,1
Pork roast,85,310,21,24,"Meat, Poultry",Tinggi,,2
Pork sausage,100,475,18,44,"Meat, Poultry",Tinggi,,2
Turkey,100,265,27,15,"Meat, Poultry",Tinggi,,2
Veal,85,185,23,9,"Meat, Poultry",Sedang,,1
Roast,85,305,13,14,"Meat, Poultry",Tinggi,,2
Clams,85,87,12,1,"Fish, Seafood",Rendah,,0
Cod,100,170,28,5,"Fish, Seafood",Sedang,,1
Crab meat,85,90,14,2,"Fish, Seafood",Rendah,,0
Fish sticks fried,112,200,19,10,"Fish, Seafood",Sedang,,1
Flounder,100,200,30,8,"Fish, Seafood",Sedang,,1
Haddock,85,135,16,5,"Fish, Seafood",Sedang,,1
Halibut,100,182,26,8,"Fish, Seafood",Sedang,,1
Herring,100,211,22,13,"Fish, Seafood",Sedang,,1
Lobster,100,92,18,1,"Fish, Seafood",Rendah,,0
Mackerel,85,155,18,9,"Fish, Seafood",Sedang,,1
Oysters,230,231,232,233,"Fish, Seafood",Tinggi,,2
Oyster stew,85,125,19,6,"Fish, Seafood",Sedang,,1
Salmon,85,120,17,5,"Fish, Seafood",Sedang,,1
Sardines,85,180,22,9,"Fish, Seafood",Sedang,,1
Scallops,100,104,18,8,"Fish, Seafood",Rendah,,0
Shad,85,170,20,10,"Fish, Seafood",Sedang,,1
Shrimp,85,110,23,1,"Fish, Seafood",Sedang,,1
Swordfish,100,180,27,6,"Fish, Seafood",Sedang,,1
Tuna,85,170,25,7,"Fish, Seafood",Sedang,,1
"Navy, baked with pork",200,250,11,6,Vegetables A-E,Tinggi,,2
Red kidney,260,230,15,1,Vegetables A-E,Tinggi,,2
Beetroots,165,1,12,0,Vegetables A-E,,,3
Corn,100,92,3,1,Vegetables A-E,Rendah,,0
Dandelion greens,180,80,5,1,Vegetables A-E,Rendah,,0
Kale,110,45,4,1,Vegetables F-P,Rendah,,0
Parsnips,155,95,2,1,Vegetables F-P,Rendah,,0
Peppers with beef and crumbs,150,255,19,9,Vegetables R-Z,Tinggi,,2
Potatoes Mashed with milk and butter,200,230,4,12,Vegetables R-Z,Tinggi,,2
"Potatoes, pan-tried",100,268,4,14,Vegetables R-Z,Tinggi,,2
Scalloped with cheese potatoes,100,145,6,8,Vegetables R-Z,Sedang,,1
Potato chips,20,110,1,7,Vegetables R-Z,Sedang,,1
Soybeans,200,260,22,11,Vegetables R-Z,Tinggi,,2
Sweet potatoes,110,155,2,1,Vegetables R-Z,Sedang,,1
Candied,175,235,2,6,Vegetables R-Z,Tinggi,,2
Turnip greens,145,45,4,1,Vegetables R-Z,Rendah,,0
Avocado,108,185,2,18,Fruits A-F,Sedang,,1
Blackberries,144,85,2,1,Fruits A-F,Rendah,,0
Cherries,257,100,2,1,Fruits A-F,Rendah,,0
Olives large,65,72,1,10,Fruits G-P,Rendah,,0
OlivesRipe,65,105,1,13,Fruits G-P,Rendah,,0
"Raw, 3 by 2V",182,100,1,1,Fruits G-P,Rendah,,0
Prunes,270,300,3,1,Fruits G-P,Tinggi,,2
Watermelon,925,120,2,1,Fruits R-Z,Sedang,,1
Biscuits,38,130,3,4,"Breads, cereals, fastfood,grains",Sedang,,1
"Bread, cracked wheat",23,60,2,1,"Breads, cereals, fastfood,grains",Rendah,,0
Rye,23,55,2,1,"Breads, cereals, fastfood,grains",Rendah,,0
Whole-wheat,23,55,2,1,"Breads, cereals, fastfood,grains",Rendah,,0
Corn bread ground meal,50,100,3,4,"Breads, cereals, fastfood,grains",Rendah,,0
Corn meal,118,360,9,4,"Breads, cereals, fastfood,grains",Tinggi,,2
Crackers,14,55,1,1,"Breads, cereals, fastfood,grains",Rendah,,0
"Soda, 2 1/2 square",11,45,1,1,"Breads, cereals, fastfood,grains",Rendah,,0
Flour,110,460,39,22,"Breads, cereals, fastfood,grains",Tinggi,,2
Wheat (all purpose),110,400,12,1,"Breads, cereals, fastfood,grains",Tinggi,,2
Wheat (whole),120,390,13,2,"Breads, cereals, fastfood,grains",Tinggi,,2
Macaroni,140,155,5,1,"Breads, cereals, fastfood,grains",Sedang,,1
Baked with cheese,220,475,18,25,"Breads, cereals, fastfood,grains",Tinggi,,2
Muffins,48,135,4,5,"Breads, cereals, fastfood,grains",Sedang,,1
Noodles,160,200,7,2,"Breads, cereals, fastfood,grains",Sedang,,1
Oatmeal,236,150,5,3,"Breads, cereals, fastfood,grains",Sedang,,1
"Pancakes 4"" diam.",108,250,7,9,"Breads, cereals, fastfood,grains",Tinggi,,2
"Wheat, pancakes 4"" diam.",108,250,7,9,"Breads, cereals, fastfood,grains",Tinggi,,2
"Pizza 14"" diam.",75,180,8,6,"Breads, cereals, fastfood,grains",Sedang,,1
Popcorn salted,28,152,3,7,"Breads, cereals, fastfood,grains",Sedang,,1
Rice,208,748,15,3,"Breads, cereals, fastfood,grains",Tinggi,,2
Rice polish,50,132,6,6,"Breads, cereals, fastfood,grains",Sedang,,1
Rolls,50,411,3,12,"Breads, cereals, fastfood,grains",Tinggi,,2
of refined flour,38,115,3,2,"Breads, cereals, fastfood,grains",Sedang,,1
whole-wheat,40,102,4,1,"Breads, cereals, fastfood,grains",Rendah,,0
Spaghetti with meat sauce,250,285,13,10,"Breads, cereals, fastfood,grains",Tinggi,,2
with tomatoes and cheese,250,210,6,5,"Breads, cereals, fastfood,grains",Sedang,,1
Spanish rice,250,217,4,4,"Breads, cereals, fastfood,grains",Sedang,,1
Shredded wheat biscuit,28,100,3,1,"Breads, cereals, fastfood,grains",Rendah,,0
Waffles,75,240,8,9,"Breads, cereals, fastfood,grains",Tinggi,,2
Wheat germ,68,245,17,7,"Breads, cereals, fastfood,grains",Tinggi,,2
Wheat-germ cereal toasted,65,260,20,7,"Breads, cereals, fastfood,grains",Tinggi,,2
Wheat meal cereal unrefined,30,103,4,1,"Breads, cereals, fastfood,grains",Rendah,,0
"Wheat, cooked",200,275,12,1,"Breads, cereals, fastfood,grains",Tinggi,,2
Bean soups,250,190,8,5,Soups,Sedang,,1
Beef soup,250,100,6,4,Soups,Rendah,,0
Bouillon,240,24,5,0,Soups,Rendah,,0
chicken soup,250,75,4,2,Soups,Rendah,,0
Clam chowder,255,85,5,2,Soups,Rendah,,0
Cream soups,255,200,7,12,Soups,Sedang,,1
Noodle,250,115,6,4,Soups,Sedang,,1
Split-pea soup,250,147,8,3,Soups,Sedang,,1
Tomato soup,245,175,6,7,Soups,Sedang,,1
Vegetable,250,80,4,2,Soups,Rendah,,0
Apple betty,100,150,1,4,"Desserts, sweets",Sedang,,1
Bread pudding,200,374,11,12,"Desserts, sweets",Tinggi,,2
Chocolate fudge,120,420,5,14,"Desserts, sweets",Tinggi,,2
Cupcake,50,160,3,3,"Desserts, sweets",Sedang,,1
Fruit cake,30,105,2,4,"Desserts, sweets",Rendah,,0
Gingerbread,55,180,2,7,"Desserts, sweets",Sedang,,1
"Plain, with no icing",55,180,4,5,"Desserts, sweets",Sedang,,1
Sponge cake,40,115,3,2,"Desserts, sweets",Sedang,,1
Marshmallows,30,98,1,0,"Desserts, sweets",Rendah,,0
Milk chocolate,56,290,2,6,"Desserts, sweets",Tinggi,,2
Doughnuts,33,135,2,7,"Desserts, sweets",Sedang,,1
Ice cream,300,250,0,0,"Desserts, sweets",Tinggi,,2
Ices,150,117,0,0,"Desserts, sweets",Sedang,,1
preserves,20,55,0,0,"Jams, Jellies",Rendah,,0
Jellies,20,50,0,0,"Jams, Jellies",Rendah,,0
Molasses,20,45,0,0,"Jams, Jellies",Rendah,,0
Cane Syrup,20,50,0,0,"Jams, Jellies",Rendah,,0
"9"" diam. pie",135,330,3,13,"Desserts, sweets",Tinggi,,2
Cherry Pie,135,340,3,13,"Desserts, sweets",Tinggi,,2
Custard,130,265,7,11,"Desserts, sweets",Tinggi,,2
Lemon meringue,120,300,4,12,"Desserts, sweets",Tinggi,,2
Mince,135,340,3,9,"Desserts, sweets",Tinggi,,2
Pumpkin Pie,130,265,5,12,"Desserts, sweets",Tinggi,,2
Puddings Sugar,200,770,0,0,"Desserts, sweets",Tinggi,,2
3 teaspoons sugar,12,50,0,0,"Desserts, sweets",Rendah,,0
Syrup,40,100,0,0,"Jams, Jellies",Rendah,,0
table blends sugar,40,110,0,0,"Jams, Jellies",Sedang,,1
Tapioca cream pudding,250,335,10,10,"Desserts, sweets",Tinggi,,2
Almonds,70,425,13,38,Seeds and Nuts,Tinggi,,2
roasted and salted,70,439,13,40,Seeds and Nuts,Tinggi,,2
Brazil nuts,70,457,10,47,Seeds and Nuts,Tinggi,,2
Cashews,70,392,12,32,Seeds and Nuts,Tinggi,,2
coconut sweetened,50,274,1,20,Seeds and Nuts,Tinggi,,2
Peanut butter,50,300,12,25,Seeds and Nuts,Tinggi,,2
"Peanut butter, natural",50,284,13,24,Seeds and Nuts,Tinggi,,2
Peanuts,50,290,13,25,Seeds and Nuts,Tinggi,,2
Pecans,52,343,5,35,Seeds and Nuts,Tinggi,,2
Sesame seeds,50,280,9,24,Seeds and Nuts,Tinggi,,2
Sunflower seeds,50,280,12,26,Seeds and Nuts,Tinggi,,2
Walnuts,50,325,7,32,Seeds and Nuts,Tinggi,,2
